BroadWeb|中国台湾|http://shop1733449.yellowurl.cn/
Cimetrics|美国|https://www.cimetrics.com/
Fujitsu|日本|http://www.fujitsu.com/jp/
THUS||
三维力控科技有限公司|中国|
General Electric|美国|http://www.ge.com/
Reliance|印度|http://www.ril.com/
IDS|德国|
MatrikonOPC|加拿大|
NOVUS Electronics||
Beck IPC|美国|http://www.beck-ipc.com/en/index.asp
Delta Controls|英国|https://www.delta-controls.com/
Arc Informatique||
Exemys|阿根廷|
Moxa|中国台湾|http://www.moxa.com.cn/
ICONICS|美国|
Motorola Solutions|美国|
Trend||
Invensys|英国|
SIXNET|美国|
ACKP|美国|http://www.akcp.com/
Codesys|德国|https://www.codesys.com/
Echelon|美国|http://www.echelon.com/
Yokogawa|日本|
NRG Systems|美国|http://www.renewablenrgsystems.com/
Omron||
Mitsubishi Electric|日本|
Infinite Automation Systems|美国|
RTS Services|加拿大|http://www.rtsservices.ca/
Saia Burgess Controls|瑞士|
Rockwell Automation|美国|https://www.rockwellautomation.com/
CG Automation Solutions|美国|
Schleifenbauer|德国|https://schleifenbauer.eu/en/
Stulz|德国|http://www.stulz.cn/cn/
Westermo|瑞典|
Advantech WebAccess|中国台湾|
Unitronics|以色列|
Schweitzer Engineering Laboratories|法国|http://www.schneider-electric.com/ww/en/
PROGEA|意大利|
亚控|中国|
HP|美国|
Tridium|美国|https://www.tridium.com/
7-Technologies||
﻿Adcon Telemetry|奥地利|http://www.adcon.com/
SAP|德国|http://go.sap.com/china/index.html
Honeywell International|美国|
Triangle MicroWorks||
Wind River|美国|http://www.windriver.com/
Clorius Controls|丹麦|http://www.cloriuscontrols.cn/
Siemens|德国|http://www.siemens.com/entry/cn/zh/?stc=cncg100560
SpiderControl|德国|http://www.spidercontrol.net/
Inductive Automation||
Meteocontrol|德国|
Pro-face|日本|
PACTware|德国|
ABB|瑞士|http://new.abb.com/
Trihedral VTScada|加拿大|
Pacom|瑞典|
ESC|美国|
Wago|德国|http://www.wago.com.cn/
Measuresoft ScadaPro||
SoftPLC|美国|http://www.softplc.com/
Panasonic|日本|
Rabbit|美国|http://www.digi.com/lp/rabbit
Kessler-Ellis||
泓格|中国台湾|
Emerson Process Management||
RuggedCom Inc|德国|
Novatech|美国|http://www.novatechweb.com/
HMS|瑞典|http://www.hms-networks.com/
Ecava|马来西亚|
Electro Industries GaugeTech|美国|www.electroind.com
Elster EnergyICT|德国|http://www.elster.com/en/electricity
Rexroth Bosch|德国|
Somfy|法国|http://www.somfy.org.cn/portail/index.cfm
Huawei|中国|
3S-Smart Software Solutions||
Allen-Bradley|美国|http://ab.rockwellautomation.com/
Cogent Real-Time Systems|加拿大|
Electric||
Schneider Electric||
WestermoPacom RTU/1000 CCU/EMCS||